Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
Threat Level Midnight: The Movie,9.6,11007,"Action, Comedy",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Teketeke 2,5.2,278,Horror,,,Reviews,,
Alien Terror,3.3,297,"Sci-Fi, Horror",,,Reviews,,
KKN di Desa Penari,5.9,2395,"Horror, Mystery, Thriller",,,Reviews,,
Mr. Jones,6.9,16259,"Biography, Drama, Thriller",50%,43%,14 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
The Elderly,5.3,842,Horror,79%,91%,11 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Destroyer,6.2,31809,"Action, Crime, Drama, Mystery, Thriller",50%,74%,266 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Snakehead Terror,3.8,1696,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",24%,,Reviews,500+ Ratings,
The Ghostmaker,4.9,2368,"Fantasy, Horror, Sci-Fi, Thriller",20%,,Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Ghost Chase,4.3,954,"Adventure, Comedy, Fantasy, Horror",26%,,Reviews,250+ Ratings,
Mother of Tears,5,11146,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bethany,4.2,1913,Horror,44%,38%,8 Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Scared Topless,3.4,388,"Comedy, Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Feast III: The Happy Finish,4.8,6014,"Action, Comedy, Horror, Thriller",30%,,Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Seedpeople,4.3,1206,"Horror, Sci-Fi",12%,,Reviews,100+ Ratings,amazon-prime-video-us
Fire City: End of Days,4.8,885,"Fantasy, Horror, Thriller",53%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Demon Legacy,3.4,630,Horror,0%,,Reviews,Fewer than 50 Ratings,
Circle of Eight,3.7,2042,"Horror, Mystery, Sci-Fi",8%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Redneck Zombies,4.2,3228,"Comedy, Horror",42%,,Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
The Occult History of the Third Reich,7.1,356,"Documentary, History",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Maze Runner,6.8,510249,"Action, Mystery, Sci-Fi, Thriller",68%,65%,172 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
A Bucket of Blood,6.7,7904,"Comedy, Crime, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Labyrinth,7.3,149669,"Adventure, Family, Fantasy, Musical",86%,77%,52 Reviews,"250,000+ Ratings","fandango, peacock, vudu, amazon-prime-video-us"
Monk,8.1,88982,"Comedy, Crime, Drama, Mystery",,,Reviews,,amazon-prime-video-us
Midnighters,5.4,2182,"Drama, Thriller",35%,81%,31 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
The Card Player,4.8,5657,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Ringmaster,,,"Short, Drama, Horror, Thriller",67%,100%,7 Reviews,Fewer than 50 Ratings,
Night Visitor,4.9,877,"Crime, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Cheerleader Camp,4.6,3961,"Comedy, Horror, Thriller",22%,,Reviews,"2,500+ Ratings",
Frankenstein 90,4.5,396,"Comedy, Drama, Horror, Sci-Fi",11%,,Reviews,250+ Ratings,
The Legend of Boggy Creek,5.2,3636,"Drama, Horror, Mystery",45%,,Reviews,"1,000+ Ratings",amazon-prime-video-us
Tam Lin,5.7,733,"Horror, Mystery",25%,,Reviews,Fewer than 50 Ratings,
Revenge of the Pontianak,5.3,327,"Horror, Romance",,,Reviews,,netflix
Goal of the Dead,5.5,1630,"Comedy, Horror",33%,,Reviews,50+ Ratings,
The Creeping Flesh,6.1,4444,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Penance Lane,4.3,1581,Horror,36%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Bhool Bhulaiyaa,7.4,32298,"Comedy, Horror, Mystery, Thriller",72%,33%,6 Reviews,"2,500+ Ratings",
The Dark Tapes,4.6,3295,"Horror, Mystery, Sci-Fi, Thriller",55%,90%,10 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Along Came the Devil,4.1,2041,"Drama, Horror, Thriller",54%,38%,8 Reviews,50+ Ratings,"vudu, amazon-prime-video-us, hulu"
Minions: The Rise of Gru,6.5,85608,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",89%,70%,185 Reviews,"10,000+ Verified Ratings","fandango, vudu, amazon-prime-video-us"
Colour from the Dark,4.8,899,Horror,28%,,Reviews,100+ Ratings,amazon-prime-video-us
The Dead Center,5.8,3538,"Horror, Mystery, Thriller",46%,94%,18 Reviews,50+ Ratings,amazon-prime-video-us
Most Beautiful Island,5.8,3656,"Drama, Horror, Thriller",47%,94%,47 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Poor Pretty Eddie,5.4,955,"Crime, Horror, Thriller",,,Reviews,,
3 Body Problem,7.6,101980,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
A Quiet Place in the Country,6.5,2041,"Drama, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Midori: The Camellia Girl,5.3,354,"Drama, Fantasy",,,Reviews,,
Love Bites,7.4,2492,"Comedy, Drama, Romance",43%,,Reviews,500+ Ratings,
Lust of the Vampire Girls,3,51,Horror,,,Reviews,,vudu
The Granny,5,760,"Comedy, Horror",41%,,Reviews,100+ Ratings,
Zombie Wars,2.8,1030,"Horror, Sci-Fi",20%,,Reviews,500+ Ratings,amazon-prime-video-us
Seven Stages to Achieve Eternal Bliss,5.7,1287,"Comedy, Horror, Thriller",56%,65%,17 Reviews,Fewer than 50 Ratings,"peacock, vudu, amazon-prime-video-us"
Black Cat,7.7,8586,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Hitcher in the Dark,5.1,954,"Horror, Thriller",10%,,Reviews,250+ Ratings,vudu
Dogra Magra,6.6,601,"Horror, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Scourge,4.2,1161,"Horror, Mystery, Sci-Fi",10%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Blood Dolls,4.5,1763,"Comedy, Horror",48%,,Reviews,"1,000+ Ratings",amazon-prime-video-us
The Boogens,5.5,3123,"Horror, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Terror Birds,3.4,511,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",,,Reviews,,"peacock, vudu, amazon-prime-video-us"
Queen of Spades: Through the Looking Glass,5,742,Horror,,,Reviews,,
Triassic Attack,3.1,1456,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",8%,,Reviews,Fewer than 50 Ratings,
Verotika,1.9,1980,Horror,14%,22%,18 Reviews,Fewer than 50 Ratings,vudu
Ju-on: The Final Curse,4.4,1056,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Room 203,4.2,1943,"Drama, Horror",80%,64%,11 Reviews,100+ Ratings,"vudu, amazon-prime-video-us, hulu"
Amnesiac,4.3,3916,"Drama, Horror, Mystery, Thriller",0%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Dollman vs. Demonic Toys,4.2,1879,"Action, Fantasy, Horror, Sci-Fi",23%,,Reviews,"1,000+ Ratings",amazon-prime-video-us
The Sacrifice Game,5.5,2090,Horror,51%,90%,30 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Raging Grace,6,2013,"Drama, Horror, Mystery, Thriller",62%,94%,53 Reviews,50+ Ratings,"vudu, amazon-prime-video-us, paramount-plus-us"
Horror in the High Desert,5.4,3908,"Horror, Thriller",59%,,Reviews,50+ Ratings,amazon-prime-video-us
Amon: Apocalypse of Devilman,6.4,806,"Animation, Action, Drama, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
RiffTrax: Rats Night of Terror,6.9,17,Comedy,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Shadow Play,4.5,225,"Drama, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Devil's Playground,5.1,5154,"Action, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
A Night of Horror: Nightmare Radio,5,2697,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Centurion: The Dancing Stallion,6.7,122,"Drama, Family",,,Reviews,,amazon-prime-video-us
Zoombies 2,3.5,641,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",38%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Exploited,4.3,1058,"Horror, Thriller",,33%,6 Reviews,,"vudu, amazon-prime-video-us"
Fresh Meat,7.8,19534,"Comedy, Drama",32%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Jekyll and Hyde... Together Again,6,1405,"Comedy, Music, Sci-Fi",72%,,Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Beauty Juice,5.2,46,"Short, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Death King,6.4,2853,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Something Beneath,3.6,977,"Action, Horror, Sci-Fi, Thriller",7%,,Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
The Leopard Man,6.7,5963,"Film-Noir, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Alligator People,5.6,2510,"Horror, Mystery, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Syngenor,4.3,796,"Horror, Sci-Fi",19%,,Reviews,100+ Ratings,
Smile 2,,,"Horror, Mystery, Thriller",,,Reviews,,
Eternal Evil,3.9,673,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Eternal Evil,3.9,673,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Alien Abduction: Incident in Lake County,6.2,3858,"Drama, Horror, Sci-Fi",47%,,Reviews,250+ Ratings,
Antisocial 2,4.5,518,Horror,0%,,Reviews,Fewer than 50 Ratings,
Puppet Master X: Axis Rising,3.9,1451,"Action, Comedy, Fantasy, Horror, Sci-Fi, War",24%,,Reviews,100+ Ratings,amazon-prime-video-us
30 Miles from Nowhere,4.2,1843,"Comedy, Horror, Mystery, Thriller",32%,78%,9 Reviews,50+ Ratings,"peacock, vudu"
Dr. Lamb,5.9,939,"Crime, Thriller",35%,67%,6 Reviews,100+ Ratings,vudu
Of Unknown Origin,6.1,3787,"Horror, Thriller",40%,63%,8 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Assault! Jack the Ripper,6.2,558,"Crime, Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Mindstorm,3.8,705,"Action, Horror, Mystery, Sci-Fi, Thriller",4%,,Reviews,100+ Ratings,
Mutant Girls Squad,5.6,2033,"Action, Comedy, Fantasy, Horror, Sci-Fi, Thriller",38%,,Reviews,250+ Ratings,
Scream Blacula Scream,5.6,3060,"Fantasy, Horror",37%,29%,7 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
The Invisible Man's Revenge,5.7,2738,"Crime, Horror, Mystery, Romance, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Killing Floor,5.5,3318,"Crime, Horror, Mystery, Thriller",31%,,Reviews,"1,000+ Ratings",
Wicked Stepmother,3.9,2391,"Comedy, Fantasy",19%,,Reviews,250+ Ratings,amazon-prime-video-us
Mr. Sardonicus,6.6,3644,"Drama, Horror, Mystery",50%,40%,10 Reviews,"1,000+ Ratings",
Prom Night III: The Last Kiss,4.6,2566,"Comedy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Butcher Boys,3.5,1660,"Action, Comedy, Horror, Thriller",20%,0%,5 Reviews,100+ Ratings,vudu
Lockout,6,100965,"Action, Sci-Fi, Thriller",25%,,Reviews,100+ Ratings,
Crawlers,,,Horror,0%,,Reviews,Fewer than 50 Ratings,
Botched,6.8,1697,Reality-TV,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jeruzalem 2 - IMDb,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
A Little Bit Zombie,5.3,2987,"Comedy, Horror, Sci-Fi",43%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
The Rope Curse 2,4.8,538,Horror,,,Reviews,,netflix
Slasher.com,3.4,691,"Crime, Horror, Thriller",30%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Vigilante Force,5.2,1080,"Action, Adventure, Crime, Drama, Thriller",14%,17%,6 Reviews,100+ Ratings,
Pulgasari,5.3,1336,"Action, Drama, Fantasy",28%,,Reviews,100+ Ratings,
Tiger Stripes,6,714,Horror,,100%,26 Reviews,,
Campfire Tales,5.8,4481,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Don't Worry Darling,6.3,147216,"Drama, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Children of the Corn: Runaway,3.7,1387,Horror,12%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Scanner Cop II,5.2,1225,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Even the Wind Is Afraid,7.2,2024,"Drama, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Insensate,7.1,23,Drama,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Murder Party,5.8,12301,"Comedy, Horror",58%,100%,6 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
The Huntress: Rune of the Dead,4.3,3272,"Action, Drama, Fantasy, Horror, Mystery, Thriller",14%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Kamen Rider Amazons: Reincarnation,8,23,"Action, Fantasy, Horror",,,Reviews,,
Tintorera: Killer Shark,4.1,1523,"Drama, Horror, Romance, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Revenge of the Dead,6.1,2480,"Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Mad Fate,6.4,727,"Mystery, Thriller",,89%,9 Reviews,,
The Strange Color of Your Body's Tears,5.9,4362,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Suddenly in the Dark,6.5,487,Horror,,,Reviews,,amazon-prime-video-us
Night Gallery,7.9,6186,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",79%,,Reviews,250+ Ratings,
Vina: Sebelum 7 Hari,,,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
To All a Goodnight,4.6,2357,"Horror, Mystery, Thriller",21%,,Reviews,100+ Ratings,
Awaiting,4.8,962,"Drama, Horror, Thriller",38%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
28 Years Later - IMDb,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Female Teacher Rope Hell,5.3,163,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Task,4.2,3706,Horror,18%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Summer Camp,,,Comedy,44%,,Reviews,250+ Ratings,amazon-prime-video-us
Silk,8,5582,Drama,27%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Divine Emanuelle,3.8,720,Crime,,,Reviews,,
The Legend of the Wolf Woman,5,1394,Horror,20%,,Reviews,"1,000+ Ratings",amazon-prime-video-us
Mother Nature and the Doomsday Prepper - IMDb,,,"Comedy, Fantasy, Romance",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Unconventional,6.5,26,Comedy,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Edge of Sanity,5.3,1805,"Drama, Horror, Thriller",31%,33%,6 Reviews,"1,000+ Ratings",vudu
Indigenous,4.5,4241,Horror,53%,,Reviews,250+ Ratings,
It's Alive III: Island of the Alive,4.9,2178,"Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Pale Blood,4.9,758,Horror,29%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Zora the Vampire,5.1,523,"Comedy, Horror",20%,,Reviews,Fewer than 50 Ratings,
At the Devil's Door,4.8,7460,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Stray Cat Rock: Sex Hunter,6.3,886,"Crime, Thriller",45%,,Reviews,"1,000+ Ratings",
Time Walker,3.7,2196,"Horror, Sci-Fi",26%,,Reviews,250+ Ratings,amazon-prime-video-us
Death Tunnel,2.6,5353,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Homestead,,,Action,,,Reviews,,
A Virgin Among the Living Dead: Homage to Jess,,,Short,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
My Best Friend Is a Vampire,6,4237,"Comedy, Horror, Romance",59%,,Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Criminal Activities,5.8,9390,"Crime, Drama, Thriller",42%,48%,21 Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
The Harbinger,5.6,1441,Horror,77%,56%,9 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Time Machine: Rise of the Morlocks,3.3,776,"Action, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Wailer 2,5.2,103,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Snakeman,2.9,1056,"Comedy, Fantasy, Horror, Sci-Fi, Thriller",25%,,Reviews,500+ Ratings,amazon-prime-video-us
Fall Down Dead,3.8,1099,"Horror, Thriller",5%,0%,6 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
Peelers,4.1,2230,"Comedy, Horror",85%,,Reviews,250+ Ratings,vudu
The Antisocial Network: Memes to Mayhem,6.3,1504,Documentary,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Satan's Slave,5.3,2139,"Drama, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Saloum,6.2,2696,"Action, Horror, Thriller",67%,96%,56 Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Blink Twice,,,"Comedy, Crime, Drama, Mystery, Thriller",,,Reviews,,
They Listen,,,Horror,,,Reviews,,
Black Wood,3.9,336,"Horror, Western",60%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Horror Castle,5.8,1265,Horror,,,Reviews,,amazon-prime-video-us
The Pit,7.6,19396,"Action, Crime, Thriller",38%,,Reviews,Fewer than 50 Ratings,
Tone-Deaf,4.9,3111,"Comedy, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Someone's Watching Me!,6.6,5186,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
August Underground,3.5,3644,Horror,49%,,Reviews,500+ Ratings,vudu
Terminal Invasion,5,2333,"Action, Mystery, Sci-Fi, Thriller",32%,,Reviews,250+ Ratings,
I Will Follow You Into the Dark,4.5,1375,"Drama, Horror, Romance, Thriller",20%,20%,10 Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
The Pod Generation,5.6,3795,"Comedy, Romance, Sci-Fi",55%,42%,79 Reviews,Fewer than 50 Verified Ratings,"vudu, amazon-prime-video-us, hulu"
Gammera the Invincible,5,1344,"Action, Family, Sci-Fi",32%,40%,5 Reviews,500+ Ratings,amazon-prime-video-us
Deadtectives,5.9,2709,"Comedy, Horror",62%,75%,8 Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Don't Worry Darling,6.3,147216,"Drama, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Possessed,7.1,5913,"Crime, Drama, Film-Noir, Thriller",,,Reviews,,amazon-prime-video-us
One Of Us Is Lying,6.9,14755,"Crime, Drama, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Bloodlust: Subspecies III,5.6,2043,"Fantasy, Horror, Thriller",41%,,Reviews,250+ Ratings,amazon-prime-video-us
Night Angel,4.5,778,Horror,36%,,Reviews,50+ Ratings,
The Devil in Me,4.1,2398,Horror,16%,,Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
The Morgue,3.1,963,"Horror, Thriller",7%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
I Bury the Living,6.3,3195,Horror,49%,64%,11 Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
The Long Night,3.8,2140,Horror,,,Reviews,,
Rabbits,6.9,8261,"Short, Drama, Fantasy, Horror, Mystery, Thriller",,,Reviews,,
The Velvet Vampire,5.3,1720,Horror,24%,71%,14 Reviews,50+ Ratings,
Grave Intentions,4,242,Horror,,67%,6 Reviews,,"vudu, amazon-prime-video-us"
Toxic Shark,3.3,1234,"Action, Adventure, Comedy, Drama, Horror, Sci-Fi, Thriller",35%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
End Call,4.3,227,Horror,,,Reviews,,
GRUB - IMDb,,,"Short, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Trophy Heads,4.9,473,Horror,,,Reviews,,amazon-prime-video-us
Stalking Laura,6.4,1853,"Crime, Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Death Whisperer 2,,,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Fairy in a Cage,5.4,379,Drama,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Ghost Writer,7.2,170852,"Crime, Drama, Mystery, Thriller",,,Reviews,,
The Funeral Home,4.4,638,"Horror, Mystery",,,Reviews,,"vudu, amazon-prime-video-us"
The Death Wheelers,5.7,3149,"Adventure, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Dead Are Alive,,,Horror,,,Reviews,,amazon-prime-video-us
Mission Galactica: The Cylon Attack,6.8,1864,"Action, Adventure, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Star Hunter,3.1,343,Sci-Fi,8%,,Reviews,Fewer than 50 Ratings,amazon-prime-video-us
Blood Hook,4.3,1707,"Comedy, Horror",18%,,Reviews,Fewer than 50 Ratings,"peacock, amazon-prime-video-us"
The Witch's Mirror,6.5,961,"Fantasy, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Paperboy,5.7,39670,"Crime, Drama, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Fisher King,7.5,90899,"Comedy, Drama, Fantasy",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Enys Men,5.6,3295,"Fantasy, Horror, Mystery",22%,80%,98 Reviews,50+ Ratings,"vudu, amazon-prime-video-us, hulu"
Bikini Frankenstein,5.2,272,"Comedy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
All Is Foreseen,6.3,21,Drama,,,Reviews,,amazon-prime-video-us
Scanners II: The New Order,5.3,3729,"Action, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Frankenstein '80,4.2,534,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Sandy Passage,8.3,1029,Comedy,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Don't Look Under the Bed,6.6,3729,"Family, Fantasy, Horror",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Larva,7.1,866,"Animation, Short, Adventure, Comedy, Family",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Rambler,4.8,1073,"Comedy, Horror, Mystery",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Curse of La Llorona,5.3,57701,"Horror, Mystery, Thriller",,,Reviews,,
DreadOut,5,839,"Adventure, Fantasy, Horror, Mystery, Thriller",,,Reviews,,
Vampire Bats,4.2,1463,"Action, Adventure, Horror, Sci-Fi, Thriller",26%,,Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Flying Monkeys,3.6,781,"Action, Adventure, Comedy, Fantasy, Horror, Sci-Fi, Thriller",26%,,Reviews,Fewer than 50 Ratings,"vudu, amazon-prime-video-us"
Predator World,2.1,430,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",,,Reviews,,"vudu, amazon-prime-video-us"
H.P. Lovecraft's Witch House,2.6,279,Horror,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
"Ilsa, Harem Keeper of the Oil Sheiks",5,3044,"Horror, Thriller",34%,,Reviews,"1,000+ Ratings",
Snuff,2.8,1997,Horror,25%,,Reviews,"1,000+ Ratings",
Conquest of the Planet of the Apes,6.1,36000,"Action, Sci-Fi",46%,52%,23 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Frankenstein Conquers the World,,,Horror,54%,,Reviews,500+ Ratings,
Too Many Cooks,8.4,5235,"Short, Comedy, Horror, Sci-Fi",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Groupie,7.2,38,"Short, Thriller",19%,,Reviews,50+ Ratings,amazon-prime-video-us
The Wedding Curse,6,721,"Drama, Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The Lighthouse,7.4,255296,"Drama, Fantasy, Horror, Mystery, Thriller",,,Reviews,,
Qissa: The Tale of a Lonely Ghost,6.7,1020,"Drama, Fantasy, Horror",73%,88%,16 Reviews,Fewer than 50 Ratings,
Horny House of Horror,4.3,520,"Comedy, Horror",,,Reviews,,
Bats: Human Harvest,3.2,1030,"Action, Adventure, Horror, Sci-Fi, Thriller",14%,,Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Caved In Prehistoric Terror,,,Comedy,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
MCT Sub-Atomic - The Night of a Thousand Cats,,,"Action, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Tales That Witness Madness,5.6,2149,Horror,29%,,Reviews,100+ Ratings,"vudu, amazon-prime-video-us"
30 Coins,7.1,10909,"Drama, Fantasy, Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Dr. Phibes Rises Again,6.3,7119,"Comedy, Horror",57%,59%,22 Reviews,"5,000+ Ratings","vudu, amazon-prime-video-us"
Art of the Devil,4.7,1588,"Horror, Mystery",35%,,Reviews,500+ Ratings,
Do Not Reply,4.5,1591,"Horror, Thriller",,,Reviews,,"vudu, amazon-prime-video-us"
Anarchy Parlor,4.7,2532,Horror,32%,,Reviews,100+ Ratings,
Your Vice Is a Locked Room and Only I Have the Key,6.6,4693,"Drama, Horror, Mystery, Romance, Thriller",65%,100%,11 Reviews,"1,000+ Ratings",
Dead End: So Sweet So Lonely,,,Music,Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
